Timestamp;N;Repetition;Q1TimeInMsec;Q2TimeInMsec;Q3TimeInMsec;CustomerTableInByte;ItemTableInByte;JoinTableInByte;NumRecordsToProcess;Type
1485919207;4770000;10;189094;3115558;18552004;457920000;80136000;1208;150;RowStore
1485919208;4770000;11;214405;4475986;3771143;457920000;80136000;1208;150;ColumnStore
1485919210;4770000;11;235558;2751479;15989825;457920000;80136000;1208;150;RowStore
1485919211;4770000;12;195526;4299358;3037419;457920000;80136000;1208;150;ColumnStore
1485919212;4770000;12;190563;2404747;18930374;457920000;80136000;1208;150;RowStore
1485919214;4770000;13;195421;4629474;3684577;457920000;80136000;1208;150;ColumnStore
1485919215;4770000;13;221303;2430759;19762328;457920000;80136000;1208;150;RowStore
1485919217;4770000;14;192879;5135417;4278144;457920000;80136000;1208;150;ColumnStore
1485919218;4770000;14;220865;2396828;17779387;457920000;80136000;1208;150;RowStore
1485919220;4770000;15;234587;3941789;3213230;457920000;80136000;1208;150;ColumnStore
1485919221;4770000;15;224802;2460533;18911984;457920000;80136000;1208;150;RowStore
